date,time,query,response
2022-05-13,23:33:22,A.I,You seem new to me
2022-05-13,23:33:24,A.I,Do you want to save your face?
2022-05-13,23:34:14,A.I,You seem new to me
2022-05-13,23:34:16,A.I,Do you want to save your face?
2022-05-13,23:34:19,A.I,Please provide a name
2022-05-13,23:40:31,A.I,You seem new to me
2022-05-13,23:40:34,A.I,Do you want to save your face?
2022-05-13,23:40:39,A.I,Please provide a name
2022-05-13,23:48:28,A.I,"Good Evening sir, I'm ready. You can call me anytime"
2022-05-13,23:52:23,A.I,You look similar to PARIKSHITThough I am not much sure
2022-05-13,23:52:26,A.I,Please tell me weather I am correct?
2022-05-13,23:52:32,A.I,Please provide a name
2022-05-13,23:52:44,A.I,Please provide a name
2022-05-13,23:53:05,A.I,Thankyou prajwal
2022-05-14,00:00:52,A.I,"Good Morning sir, I'm ready. You can call me anytime"
2022-05-14,00:01:21,A.I,Good
2022-05-14,00:01:37,A.I,Hi there
2022-05-14,00:02:12,A.I,You seem new to me
2022-05-14,00:02:15,A.I,Do you want to save your face?
2022-05-14,00:02:24,A.I,Please provide a name
2022-05-14,00:03:14,A.I,Thankyou Others
2022-05-14,10:27:27,A.I,"Good Morning sir, I'm ready. You can call me anytime"
2022-05-14,10:27:43,A.I,"Fantastic, what about you ?"
2022-05-14,10:31:15,A.I,"Good Morning sir, I'm ready. You can call me anytime"
2022-05-14,10:32:13,A.I,You look similar to Parikshit Though I am not much sure
2022-05-14,10:32:16,A.I,Please tell me weather I am correct?
2022-05-14,10:32:25,A.I,Please provide a name
2022-05-14,10:32:36,A.I,Please provide a name
2022-05-14,10:33:01,A.I,Thankyou Parikshit
2022-05-14,10:39:10,A.I,"Good Morning sir, I'm ready. You can call me anytime"
2022-05-14,10:40:10,A.I,PRAJWAL
2022-05-14,10:40:13,A.I,cell phone
2022-06-06,22:11:21,A.I,"Good Evening sir, I'm ready. You can call me anytime"
2022-06-06,22:27:18,A.I,"Good Evening sir, I'm ready. You can call me anytime"
2022-06-06,22:27:41,A.I,Hey! How are you doing?
2022-06-06,22:28:34,A.I,You seem new to me
2022-06-06,22:28:37,A.I,Do you want to save your face?
2022-06-06,22:28:48,A.I,Please provide a name
2022-06-06,22:28:59,A.I,Thankyou Prajwal
2022-07-08,22:38:37,A.I,"Good Evening sir, I'm ready. You can call me anytime"
2022-07-08,22:39:04,A.I,"Hi there, how can I help you?"
2022-07-08,22:39:42,A.I,PRAJWAL
2022-07-12,10:32:57,A.I,"Good Morning sir, I'm ready. You can call me anytime"
2022-07-12,10:35:14,A.I,"Good Morning sir, I'm ready. You can call me anytime"
2022-07-12,10:35:58,A.I,"Good Morning sir, I'm ready. You can call me anytime"
2022-07-12,10:38:40,A.I,"Good Morning sir, I'm ready. You can call me anytime"
2022-07-12,10:39:16,A.I,Hey
2022-07-12,10:58:22,A.I,"Good Morning sir, I'm ready. You can call me anytime"
2022-07-12,10:59:37,A.I,person
2022-07-12,11:00:22,A.I,PRAJWAL
2022-07-12,11:00:24,A.I,person
2022-07-12,11:08:53,A.I,"Good Morning sir, I'm ready. You can call me anytime"
2022-07-12,11:09:21,A.I,Text: None
2022-07-12,11:09:40,A.I,Text: None
2022-07-12,11:09:55,A.I,Text:
2022-07-12,11:10:08,A.I,Text:
2022-07-12,11:10:27,A.I,Text: None
2022-07-12,11:10:47,A.I,Text: None
2022-07-12,11:11:01,A.I,Ok..! I'll Tell you a joke....
2022-07-12,11:11:05,A.I,"Old C programmers don't die, they're just cast into void."
2022-07-12,11:11:30,A.I,"Rük (also, Ryuk) is a village in the Quba Rayon of Azerbaijan.  The village forms part of the municipality of Söhüb."
2022-07-12,11:11:32,A.I,Check your browser for the results
2022-07-12,11:11:50,A.I,"Sorry, I didn't get that. Can you please rephrase it?"
2022-07-12,11:12:08,A.I,Text: None
2022-07-12,11:12:29,A.I,Text: None
2022-07-12,11:12:46,A.I,Text: None
2022-07-15,18:27:30,A.I,"Good Evening sir, I'm ready. You can call me anytime"
2022-07-15,18:28:41,A.I,PRAJWAL
2022-07-15,18:28:44,A.I,person
2022-07-15,19:17:02,A.I,"Good Evening sir, I'm ready. You can call me anytime"
2022-07-15,19:17:16,A.I,"Hi there, how can I help"
2022-07-15,19:24:19,A.I,"Good Evening sir, I'm ready. You can call me anytime"
2022-07-15,19:24:33,A.I,Hello sir
2022-07-15,19:26:50,A.I,"Good Evening sir, I'm ready. You can call me anytime"
2022-07-15,19:27:02,A.I,"Hi there, how can I help"
